Timestamp,House Number,Street,Company,Number,Location,Collector,longitude,latitude
11/1/23 9:17,179,Whitehall Drive,Stinky Pinky,1,"36.59605104273118, -87.40714189165163",JE,-87.4071,36.5961
11/1/23 14:11,170,Whitehall Drive,WM,1,"36.59610391688315, -87.40745410445545",JE,-87.4075,36.5961
11/1/23 14:12,168,Whitehall Drive,Clarksville Disposal,1,"36.59629387187096, -87.40748581356834",JE,-87.4075,36.5963
11/1/23 14:12,164,Whitehall Drive,GFL,1,"36.59686373403765, -87.40757606258497",JE,-87.4076,36.5969
11/1/23 14:13,162,Whitehall Drive,Airborne,1,"36.596869608883324, -87.40759069756015",JE,-87.4076,36.5969
11/1/23 14:13,160,Whitehall Drive,Airborne,1,"36.59716335059724, -87.40766631159859",JE,-87.4077,36.5972
11/1/23 14:14,156,Whitehall Drive,Queen City,1,"36.597235806718125, -87.40824683234801",JE,-87.4082,36.5972
11/1/23 14:14,154,Whitehall Drive,GFL,2,"36.59723776499063, -87.40851026190123",JE,-87.4085,36.5972
11/1/23 14:15,152,Whitehall Drive,Stinky Pinky,1,"36.59722209880963, -87.40869807744727",JE,-87.4087,36.5972
11/1/23 14:15,150,Whitehall Drive,Stinky Pinky,1,"36.59724363980825, -87.40896882448807",JE,-87.409,36.5972
11/1/23 14:15,148,Whitehall Drive,WM,1,"36.597224057082485, -87.40922737571624",JE,-87.4092,36.5972
11/1/23 14:16,144,Whitehall Drive,Queen City,1,"36.59718684988984, -87.40968593827183",JE,-87.4097,36.5972
11/1/23 14:16,142,Whitehall Drive,GFL,1,"36.59716726714968, -87.40991034122459",JE,-87.4099,36.5972
11/1/23 14:17,140,Whitehall Drive,WM,1,"36.59709872751814, -87.41021035830249",JE,-87.4102,36.5971
11/1/23 14:17,138,Whitehall Drive,Queen City,1,"36.597055645433976, -87.41052501026886",JE,-87.4105,36.5971
11/1/23 14:18,134,Whitehall Drive,Queen City,1,"36.59693423215833, -87.4109786944994",JE,-87.411,36.5969
11/1/23 14:19,128,Whitehall Drive,Clarksville Disposal,1,"36.59694989839814, -87.41184215808143",JE,-87.4118,36.5969
11/1/23 14:19,126,Whitehall Drive,Stinky Pinky,2,"36.59694598183847, -87.41208851349693",JE,-87.4121,36.5969
11/1/23 14:20,121,Whitehall Drive,Airborne,1,"36.59716726714884, -87.41285684975166",JE,-87.4129,36.5972
11/1/23 14:20,119,Whitehall Drive,Clarksville Disposal,3,"36.59715355922775, -87.41314954925525",JE,-87.4131,36.5972
11/1/23 14:21,110,Whitehall Drive,Clarksville Disposal,1,"36.59669923817982, -87.41309344851706",JE,-87.4131,36.5967
11/1/23 14:22,109,Whitehall Drive,Waste Connections,1,"36.596174415700226, -87.4134812753694",JE,-87.4135,36.5962
11/1/23 14:22,102,Whitehall Drive,Airborne,1,"36.595845420680845, -87.41318369754052",JE,-87.4132,36.5958
11/1/23 14:24,2007,Windroe Drive,Airborne,1,"36.594625385244875, -87.41333492562498",JE,-87.4133,36.5946
11/1/23 14:26,2005,Moncrest Drive,GFL,2,"36.594253299970006, -87.41328614237942",JE,-87.4133,36.5943
11/1/23 14:27,210,Moncrest Drive,Waste Connections,1,"36.593785253318096, -87.41180069236361",JE,-87.4118,36.5938
11/1/23 14:28,220,Moncrest Drive,Stinky Pinky,1,"36.59370300214845, -87.4104859837075",JE,-87.4105,36.5937
11/1/23 14:29,227,Moncrest Drive,Waste Connections,1,"36.59386162931993, -87.409622520087",JE,-87.4096,36.5939
11/1/23 14:30,302,Brook Mead Drive,Waste Connections,2,"36.593865546036156, -87.40876149571396",JE,-87.4088,36.5939
11/1/23 14:31,232,Moncrest Drive,Waste Connections,2,"36.593528707712544, -87.40836147297728",JE,-87.4084,36.5935
11/1/23 14:31,236,Moncrest Drive,Stinky Pinky,1,"36.593501290575134, -87.40783949219589",JE,-87.4078,36.5935
